yesterdayRank,yesterdayCountry,yesterdayTotalCases,yesterdayNewCases,yesterdayTotalDeaths,yesterdayNewDeaths,yesterdayTotalRecovered,yesterdayNewRecovered,yesterdayActiveCases,yesterdaySeriousCritical,yesterdayCasesPerMillion,yesterdayDeathsPerMillion,yesterdayTotalTests,yesterdayTestsPerMillion,yesterdayPopulation
60,Slovenia,880129,2059,6222,19,794149,5534,79758,112,423260,2992,2558743,1230516,2079406
61,UAE,875258,651,2296,2,821021,2640,51941,None,86778,228,134610760,13346056,10086183
62,Lithuania,865628,3550,8275,23,762186,1670,95167,104,325420,3111,7656969,2878524,2660033
63,Ecuador,819886,None,35160,None,None,None,None,759,45343,1944,2470170,136610,18081904
64,Uruguay,819379,3675,6895,16,776042,4693,36442,153,234547,1974,5626554,1610596,3493460
65,Costa Rica,790444,1775,7936,17,640463,1110,142045,141,152880,1535,3635922,703227,5170341
66,Azerbaijan,775432,1038,9261,26,737710,3324,28461,None,75366,900,6491040,630876,10288929
67,Guatemala,758303,715,16794,7,694801,2423,46708,5,41082,910,3850595,208610,18458315
68,Panama,751241,481,8029,10,733330,1991,9882,83,169733,1814,5466002,1234969,4426024
69,Saudi Arabia,740396,1052,8986,2,713592,2036,17818,795,20738,252,40241874,1127161,35701969
70,Sri Lanka,638043,1206,16024,30,607119,10001,14900,None,29593,743,6282076,291371,21560394
71,Paraguay,636520,929,18237,38,597468,2560,20815,156,87481,2506,2509860,344947,7276079
72,Finland,622717,17671,2329,52,46000,None,574388,35,112104,419,9818833,1767622,5554827
73,Kuwait,614344,1329,2530,1,595156,3492,16658,80,140453,578,7489094,1712173,4374030
74,Singapore,596261,13623,952,7,540287,18698,55022,19,100622,161,23014851,3883878,5925740
75,Latvia,589763,3819,5113,5,445154,None,139496,84,318443,2761,6574989,3550176,1852018
76,Dominican Republic,572290,434,4357,None,565641,415,2292,57,51903,395,3079556,279296,11026156
77,Palestine,570355,1491,5150,18,534103,3903,31102,132,107704,973,3078533,581342,5295564
78,Myanmar,568564,2897,19338,7,524880,1250,24346,None,10336,352,6935983,126091,55007547
79,Venezuela,511772,699,5616,7,495739,810,10417,230,18081,198,3359014,118677,28303882
80,Moldova,495415,231,11117,13,467312,1229,16986,113,123281,2766,2975762,740498,4018596
81,Bahrain,495212,2885,1438,1,460570,5381,33204,23,275373,800,9313980,5179233,1798332
82,Libya,486752,2307,6201,10,444606,2690,35945,127,69295,883,2394224,340846,7024363
83,Egypt,471460,2003,23806,54,402121,1239,45533,122,4469,226,3693367,35010,105495301
84,Ethiopia,468379,34,7440,2,409804,129,51135,120,3915,62,4469338,37361,119625184
85,Estonia,462722,2975,2170,8,335623,1525,124929,23,348436,1634,3045140,2293032,1327997
86,Mongolia,461347,309,2159,None,313256,None,145932,192,137111,642,4030048,1197721,3364763
87,Armenia,415757,293,8338,16,392080,1474,15339,None,139876,2805,2864871,963850,2972320
88,Honduras,408456,None,10671,None,127289,None,270496,105,40192,1050,1263329,124311,10162639
89,Oman,376724,1036,4234,3,358133,2076,14357,69,70823,796,25000000,4699937,5319220
90,Bosnia and Herzegovina,368735,303,15327,41,192218,None,161190,None,113549,4720,1687534,519662,3247371
91,Qatar,354638,416,662,None,348444,623,5532,31,126304,236,3359473,1196477,2807805
92,Kenya,322702,6,5638,3,303107,28,13957,3,5792,101,3335912,59879,55710574
93,Zambia,311264,70,3945,2,305425,231,1894,32,16189,205,3249202,168995,19226584
94,Cyprus,308917,2698,825,2,124370,None,183722,60,252845,675,9477138,7756943,1221762
95,North Macedonia,293559,231,8915,17,278326,1491,6318,None,140915,4279,1871411,898320,2083234
96,Réunion,278494,None,603,None,250359,None,27532,49,307462,666,1424291,1572442,905783
97,Albania,270370,206,3445,7,262402,604,4523,15,94119,1199,1728492,601707,2872647
98,Algeria,264201,147,6805,8,176818,185,80578,18,5852,151,230861,5113,45147880
99,Botswana,262652,739,2614,6,256886,448,3152,1,108115,1076,2026898,834328,2429379
100,Nigeria,254325,32,3142,None,230793,38,20390,11,1186,15,4317621,20128,214503281
101,Uzbekistan,235427,160,1621,2,227423,1486,6383,23,6871,47,1377915,40215,34263797
102,Zimbabwe,233571,219,5386,None,225039,99,3146,12,15349,354,2054260,134995,15217354
103,Montenegro,228956,185,2666,8,223815,242,2475,60,364466,4244,1158079,1843499,628196
104,Mozambique,224920,17,2189,None,219106,195,3625,13,6881,67,1259935,38544,32688578
105,Kyrgyzstan,200337,15,2946,2,194218,119,3173,131,29899,440,1907195,284635,6700500
106,Luxembourg,178507,1135,985,2,167792,4940,9730,9,277763,1533,4052131,6305258,642659
107,Afghanistan,172441,235,7549,8,152443,365,12449,1124,4272,187,884082,21903,40363736
108,Maldives,165729,656,292,1,150436,702,15001,25,298001,525,2162819,3889011,556136
109,Uganda,163049,17,3580,None,99859,62,59610,56,3389,74,2437217,50665,48104619
110,Ghana,158665,231,1438,None,156625,None,602,3,4937,45,2284338,71086,32135006
111,Namibia,157034,24,4002,None,152480,8,552,5,60022,1530,947400,362119,2616267
112,El Salvador,147786,None,4044,3,123870,None,19872,153,22598,618,1693464,258946,6539841
113,Laos,141301,218,612,2,7660,None,133029,None,18970,82,997658,133941,7448506
114,Rwanda,129378,6,1456,None,45522,None,82400,None,9599,108,4745825,352122,13477805
115,Jamaica,127665,55,2787,3,75279,176,49599,25,42807,934,835502,280149,2982349
116,Cambodia,126977,488,3020,3,120767,305,3190,None,7426,177,2844283,166352,17098015
117,Trinidad and Tobago,124076,355,3574,7,99478,1045,21024,18,88190,2540,615755,437663,1406915
118,Guadeloupe,123622,None,828,None,2250,None,120544,21,308873,2069,878298,2194450,400236
119,Cameroon,119107,None,1920,None,106050,None,11137,13,4311,69,1751774,63407,27627556
120,Iceland,109679,2578,58,None,75685,None,33936,2,318028,168,1714991,4972833,344872
121,Martinique,108349,None,861,None,104,None,107384,16,289094,2297,645857,1723260,374788
122,China,107851,144,4636,None,101491,42,1724,10,75,3,160000000,111163,1439323776
123,Angola,98658,20,1899,None,96584,15,175,None,2856,55,1413392,40921,34539147
124,DRC,85876,42,1335,19,50930,None,33611,None,913,14,846704,9006,94016952
125,Senegal,85588,24,1958,None,83516,38,114,5,4900,112,1007643,57691,17466152
126,Malawi,85228,9,2606,None,74715,30,7907,67,4274,131,542990,27232,19939096
127,Ivory Coast,81374,7,791,None,79285,22,1298,None,2965,29,1401277,51053,27447560
128,Suriname,77716,30,1310,1,49348,None,27058,6,130561,2201,226167,379956,595245
129,French Guiana,77532,78,388,1,11254,None,65890,6,249016,1246,588741,1890906,311354
130,Malta,70739,74,598,2,68964,123,1177,3,159512,1348,1211456,2731765,443470
131,Eswatini,68993,15,1389,1,67483,63,121,11,58476,1177,472393,400385,1179846
132,Fiji,63650,12,826,2,61865,67,959,None,70169,911,495733,546509,907090
133,Madagascar,63433,None,1350,None,57862,None,4221,61,2198,47,393562,13639,28856279
134,Guyana,62668,12,1213,2,60604,100,851,11,79049,1530,532757,672018,792772
135,French Polynesia,62571,1855,637,None,None,None,None,7,220655,2246,None,None,283569
136,Sudan,61223,1284,3892,61,40329,None,17002,None,1345,85,562941,12365,45525392
137,Hong Kong,60363,7533,300,12,13232,None,46831,16,7946,39,36260319,4773199,7596650
138,Mauritania,58616,5,977,1,57540,18,99,30,12087,201,733174,151179,4849705
139,Belize,56256,177,645,4,53607,612,2004,6,137394,1575,494451,1207598,409450
140,Cabo Verde,55863,3,400,None,55395,2,68,23,98719,707,400982,708598,565881
141,Barbados,53884,186,311,1,50326,458,3247,None,187128,1080,577602,2005897,287952
142,Syria,53784,125,3053,3,45643,240,5088,None,2956,168,146269,8038,18196619
143,Channel Islands,49133,477,140,None,46315,666,2678,None,278391,793,1205516,6830545,176489
144,Gabon,47506,22,303,None,45387,388,1816,1,20550,131,1564505,676773,2311713
145,New Caledonia,45326,1441,287,None,34137,4330,10902,37,156299,990,98964,341261,289995
146,Papua New Guinea,40296,387,636,None,37959,253,1701,7,4368,69,249149,27009,9224576
147,Seychelles,39181,415,160,1,38481,678,540,None,394393,1611,None,None,99345
148,Curaçao,38737,20,260,None,37949,45,528,3,234495,1574,485296,2937752,165193
149,Burundi,37984,None,38,None,773,None,37173,None,3046,3,345742,27725,12470311
150,Brunei,37798,2819,111,2,20583,1179,17104,None,85065,250,712994,1604603,444343
151,Andorra,37589,None,150,None,36668,None,771,14,485220,1936,249838,3225048,77468
152,Togo,36747,9,271,None,36397,None,79,None,4275,32,683107,79465,8596378
153,Mayotte,36631,None,187,None,2964,None,33480,None,129168,659,176919,623853,283591
154,Guinea,36393,39,440,2,32939,255,3014,49,2653,32,587607,42842,13715832
155,Aruba,33618,12,211,13,33355,7,52,7,312699,1963,177885,1654606,107509
156,Tanzania,33549,None,796,None,None,None,None,7,537,13,None,None,62518738
157,New Zealand,33317,2230,53,None,16893,118,16371,None,6661,11,6513660,1302185,5002100
158,Bahamas,33068,16,770,None,26029,3,6269,9,82794,1928,217912,545597,399401
159,Lesotho,32434,None,696,None,23116,None,8622,None,14946,321,391628,180467,2170078
160,Faeroe Islands,32044,None,24,None,7693,None,24327,5,651738,488,774000,15742266,49167
161,Mali,30346,6,720,None,28550,7,1076,None,1431,34,615392,29021,21205399
162,Haiti,30260,34,819,None,25169,11,4272,None,2602,70,132422,11386,11630264
163,Mauritius,29954,78,786,None,26168,362,3000,None,23489,616,358675,281264,1275227
164,Benin,26567,None,163,None,25506,None,898,5,2101,13,604310,47798,12642957
165,Somalia,26313,53,1348,3,13182,None,11783,None,1583,81,400466,24097,16618919
166,Congo,23925,51,377,2,20178,None,3370,None,4168,66,347815,60590,5740429
167,Saint Lucia,22545,77,357,1,21168,124,1020,2,121864,1930,133312,720598,185002
168,Isle of Man,22407,41,79,None,22054,18,274,None,261245,921,150753,1757643,85770
169,Timor-Leste,22406,48,125,None,21204,231,1077,19,16480,92,246290,181153,1359569
170,Burkina Faso,20751,None,375,None,20309,None,67,None,950,17,248995,11400,21841401
171,Taiwan,20056,49,852,None,17998,60,1206,None,840,36,11334382,474492,23887427
172,Cayman Islands,18728,None,17,None,8553,None,10158,2,279581,254,222773,3325665,66986
173,Nicaragua,17895,None,219,None,4225,None,13451,None,2650,32,None,None,6753684
174,Tajikistan,17388,None,124,None,17252,None,12,None,1758,13,None,None,9888382
175,South Sudan,16936,33,137,None,13077,None,3722,1,1484,12,330958,29009,11408742
176,Equatorial Guinea,15874,4,182,None,15625,5,67,5,10737,123,273437,184955,1478398
177,Djibouti,15542,None,189,None,15343,None,10,None,15365,187,282301,279082,1011536
178,Gibraltar,14873,None,101,None,13993,None,779,16,441663,2999,507804,15079555,33675
179,San Marino,14207,219,112,2,13703,477,392,4,417264,3289,134668,3955240,34048
180,CAR,14187,None,113,None,6859,None,7215,2,2856,23,81294,16366,4967301
181,Grenada,13532,6,214,None,13114,13,204,5,119354,1888,134578,1186996,113377
182,Gambia,11924,None,365,None,11461,None,98,4,4717,144,135608,53647,2527783
183,Yemen,11741,5,2123,1,8567,12,1051,23,380,69,265253,8584,30901501
184,Greenland,11581,16,12,None,2761,None,8808,8,203422,211,164926,2896945,56931
185,Bermuda,11423,107,123,1,11096,113,204,None,184537,1987,787731,12725659,61901
186,Liechtenstein,11293,55,75,None,10853,311,365,5,294803,1958,80413,2099172,38307
187,Dominica,10801,None,57,None,9947,None,797,None,149435,789,162148,2243363,72279
188,Bhutan,10112,34,6,None,6455,None,3651,None,12873,8,1917650,2441221,785529
189,Saint Martin,9827,None,63,None,1399,None,8365,7,247245,1585,78366,1971670,39746
190,Eritrea,9689,2,103,None,9559,4,27,None,2671,28,23693,6533,3626829
191,Sint Maarten,9533,7,85,None,9384,4,64,10,218276,1946,62056,1420891,43674
192,Monaco,9217,29,51,None,8986,26,180,4,232178,1285,54960,1384453,39698
193,Niger,8743,5,306,3,8409,3,28,1,341,12,226119,8819,25639956
194,Comoros,8021,1,160,None,7812,None,49,None,8913,178,None,None,899932
195,Guinea-Bissau,7907,None,166,None,6935,None,806,6,3868,81,122275,59817,2044149
196,Sierra Leone,7663,None,125,None,None,None,None,None,930,15,259958,31538,8242616
197,Caribbean Netherlands,7528,14,31,None,7390,21,107,None,282774,1164,30126,1131620,26622
198,Antigua and Barbuda,7408,None,135,None,7189,None,84,1,74634,1360,18901,190423,99258
199,Liberia,7360,None,290,None,5747,None,1323,2,1401,55,139824,26622,5252294
200,Chad,7246,32,190,None,4874,None,2182,None,421,11,191341,11126,17197232
201,St. Vincent Grenadines,6737,2,105,1,6568,4,64,4,60412,942,97955,878386,111517
202,British Virgin Islands,6050,None,62,None,None,None,None,6,197965,2029,99936,3270050,30561
203,Sao Tome and Principe,5930,4,72,1,5847,2,11,None,26259,319,29036,128578,225824
204,Solomon Islands,5891,101,83,None,1547,17,4261,8,8245,116,5117,7162,714458
205,Turks and Caicos,5846,None,36,None,5763,None,47,4,147720,910,419792,10607505,39575
206,Saint Kitts and Nevis,5523,None,42,None,5456,7,25,1,102627,780,65141,1210439,53816
207,St. Barth,3735,None,6,None,None,None,None,None,376285,604,56491,5691215,9926
208,Palau,3563,100,6,1,2743,258,814,15,195393,329,35487,1946093,18235
209,Kiribati,2847,14,11,None,1366,155,1470,4,23250,90,None,None,122451
210,Anguilla,2506,None,9,None,2476,None,21,4,164630,591,51382,3375509,15222
211,Saint Pierre Miquelon,1063,5,1,None,1035,10,27,1,184934,174,17358,3019833,5748
